"Statistic Label","Year","Sex","NACE Rev 2 Economic Sector","UNIT","VALUE"
"Employments in Top 10% of Earnings - Median Annual Earnings","2024","Male","Accommodation and food service activities (I)","Euro","125800"
"Employments in Top 10% of Earnings - Median Annual Earnings","2024","Male","Information and communication (J)","Euro","148583"
"Employments in Top 10% of Earnings - Median Annual Earnings","2024","Male","Professional, scientific and technical activities (M)","Euro","136000"
"Employments in Top 10% of Earnings - Median Annual Earnings","2024","Male","Administrative and support service activities (N)","Euro","144010"
"Employments in Top 10% of Earnings - Median Annual Earnings","2024","Male","Public administration and defence; compulsory social security (O)","Euro","112126"
"Employments in Top 10% of Earnings - Median Annual Earnings","2024","Male","Education (P)","Euro","113093"
"Employments in Top 10% of Earnings - Median Annual Earnings","2024","Male","Human health and social work activities (Q)","Euro","145000"
"Employments in Top 10% of Earnings - Median Annual Earnings","2024","Male","Industry (B to E)","Euro","126522"
"Employments in Top 10% of Earnings - Median Annual Earnings","2024","Male","Financial, insurance and real estate activities (K,L)","Euro","140415"
"Employments in Top 10% of Earnings - Median Annual Earnings","2024","Male","Arts, entertainment, recreation and other service activities (R,S)","Euro","135577"
"Employments in Top 10% of Earnings - Median Annual Earnings","2024","Female","All NACE economic sectors","Euro","126651"
"Employments in Top 10% of Earnings - Median Annual Earnings","2024","Female","Construction (F)","Euro","125519"
"Employments in Top 10% of Earnings - Median Annual Earnings","2024","Female","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","128418"
"Employments in Top 10% of Earnings - Median Annual Earnings","2024","Female","Transportation and storage (H)","Euro","130205"
"Employments in Top 10% of Earnings - Median Annual Earnings","2024","Female","Accommodation and food service activities (I)","Euro","125161"
"Employments in Top 10% of Earnings - Median Annual Earnings","2024","Female","Information and communication (J)","Euro","145519"
"Employments in Top 10% of Earnings - Median Annual Earnings","2024","Female","Professional, scientific and technical activities (M)","Euro","129992"
"Employments in Top 10% of Earnings - Median Annual Earnings","2024","Female","Administrative and support service activities (N)","Euro","136780"
"Employments in Top 10% of Earnings - Median Annual Earnings","2024","Female","Public administration and defence; compulsory social security (O)","Euro","111556"
"Employments in Top 10% of Earnings - Median Annual Earnings","2024","Female","Education (P)","Euro","110228"
"Employments in Top 10% of Earnings - Median Annual Earnings","2024","Female","Human health and social work activities (Q)","Euro","121167"
"Employments in Top 10% of Earnings - Median Annual Earnings","2024","Female","Industry (B to E)","Euro","128599"
"Employments in Top 10% of Earnings - Median Annual Earnings","2024","Female","Financial, insurance and real estate activities (K,L)","Euro","131953"
"Employments in Top 10% of Earnings - Median Annual Earnings","2024","Female","Arts, entertainment, recreation and other service activities (R,S)","Euro","127425"
"All Employments - Mean Annual Earnings","2022","Both sexes","All NACE economic sectors","Euro","52053"
"All Employments - Mean Annual Earnings","2022","Both sexes","Construction (F)","Euro","46252"
"All Employments - Mean Annual Earnings","2022","Both sexes","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","39585"
"All Employments - Mean Annual Earnings","2022","Both sexes","Transportation and storage (H)","Euro","47836"
"All Employments - Mean Annual Earnings","2022","Both sexes","Accommodation and food service activities (I)","Euro","26276"
"All Employments - Mean Annual Earnings","2022","Both sexes","Information and communication (J)","Euro","89173"
"All Employments - Mean Annual Earnings","2022","Both sexes","Professional, scientific and technical activities (M)","Euro","61836"
"All Employments - Mean Annual Earnings","2022","Both sexes","Administrative and support service activities (N)","Euro","45219"
"All Employments - Mean Annual Earnings","2022","Both sexes","Public administration and defence; compulsory social security (O)","Euro","57283"
"All Employments - Mean Annual Earnings","2022","Both sexes","Education (P)","Euro","54572"
"All Employments - Mean Annual Earnings","2022","Both sexes","Human health and social work activities (Q)","Euro","45042"
"All Employments - Mean Annual Earnings","2022","Both sexes","Industry (B to E)","Euro","58663"
"All Employments - Mean Annual Earnings","2022","Both sexes","Financial, insurance and real estate activities (K,L)","Euro","72528"
"All Employments - Mean Annual Earnings","2022","Both sexes","Arts, entertainment, recreation and other service activities (R,S)","Euro","32990"
"All Employments - Mean Annual Earnings","2022","Male","All NACE economic sectors","Euro","58612"
"All Employments - Mean Annual Earnings","2022","Male","Construction (F)","Euro","48306"
"All Employments - Mean Annual Earnings","2022","Male","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","46363"
"All Employments - Mean Annual Earnings","2022","Male","Transportation and storage (H)","Euro","49525"
"All Employments - Mean Annual Earnings","2022","Male","Accommodation and food service activities (I)","Euro","29474"
"All Employments - Mean Annual Earnings","2022","Male","Information and communication (J)","Euro","94802"
"All Employments - Mean Annual Earnings","2022","Male","Professional, scientific and technical activities (M)","Euro","71550"
"All Employments - Mean Annual Earnings","2022","Male","Administrative and support service activities (N)","Euro","50292"
"All Employments - Mean Annual Earnings","2022","Male","Public administration and defence; compulsory social security (O)","Euro","60649"
"All Employments - Mean Annual Earnings","2022","Male","Education (P)","Euro","61725"
"All Employments - Mean Annual Earnings","2022","Male","Human health and social work activities (Q)","Euro","51831"
"All Employments - Mean Annual Earnings","2022","Male","Industry (B to E)","Euro","61062"
"All Employments - Mean Annual Earnings","2022","Male","Financial, insurance and real estate activities (K,L)","Euro","87072"
"All Employments - Mean Annual Earnings","2022","Male","Arts, entertainment, recreation and other service activities (R,S)","Euro","40171"
"All Employments - Mean Annual Earnings","2022","Female","All NACE economic sectors","Euro","45151"
"All Employments - Mean Annual Earnings","2022","Female","Construction (F)","Euro","32832"
"All Employments - Mean Annual Earnings","2022","Female","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","32032"
"All Employments - Mean Annual Earnings","2022","Female","Transportation and storage (H)","Euro","41753"
"All Employments - Mean Annual Earnings","2022","Female","Accommodation and food service activities (I)","Euro","23161"
"All Employments - Mean Annual Earnings","2022","Female","Information and communication (J)","Euro","78996"
"All Employments - Mean Annual Earnings","2022","Female","Professional, scientific and technical activities (M)","Euro","51624"
"All Employments - Mean Annual Earnings","2022","Female","Administrative and support service activities (N)","Euro","38365"
"All Employments - Mean Annual Earnings","2022","Female","Public administration and defence; compulsory social security (O)","Euro","52764"
"All Employments - Mean Annual Earnings","2022","Female","Education (P)","Euro","51855"
"All Employments - Mean Annual Earnings","2022","Female","Human health and social work activities (Q)","Euro","42957"
"All Employments - Mean Annual Earnings","2022","Female","Industry (B to E)","Euro","52611"
"All Employments - Mean Annual Earnings","2022","Female","Financial, insurance and real estate activities (K,L)","Euro","58645"
"All Employments - Mean Annual Earnings","2022","Female","Arts, entertainment, recreation and other service activities (R,S)","Euro","28052"
"All Employments - Mean Annual Earnings","2023","Both sexes","All NACE economic sectors","Euro","53995"
"All Employments - Mean Annual Earnings","2023","Both sexes","Construction (F)","Euro","48357"
"All Employments - Mean Annual Earnings","2023","Both sexes","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","40945"
"All Employments - Mean Annual Earnings","2023","Both sexes","Transportation and storage (H)","Euro","48105"
"All Employments - Mean Annual Earnings","2023","Both sexes","Accommodation and food service activities (I)","Euro","26562"
"All Employments - Mean Annual Earnings","2023","Both sexes","Information and communication (J)","Euro","94366"
"All Employments - Mean Annual Earnings","2023","Both sexes","Professional, scientific and technical activities (M)","Euro","64694"
"All Employments - Mean Annual Earnings","2023","Both sexes","Administrative and support service activities (N)","Euro","47054"
"All Employments - Mean Annual Earnings","2023","Both sexes","Public administration and defence; compulsory social security (O)","Euro","60045"
"All Employments - Mean Annual Earnings","2023","Both sexes","Education (P)","Euro","56210"
"All Employments - Mean Annual Earnings","2023","Both sexes","Human health and social work activities (Q)","Euro","47918"
"All Employments - Mean Annual Earnings","2023","Both sexes","Industry (B to E)","Euro","59839"
"All Employments - Mean Annual Earnings","2023","Both sexes","Financial, insurance and real estate activities (K,L)","Euro","74319"
"All Employments - Mean Annual Earnings","2023","Both sexes","Arts, entertainment, recreation and other service activities (R,S)","Euro","33755"
"All Employments - Mean Annual Earnings","2023","Male","All NACE economic sectors","Euro","60816"
"All Employments - Mean Annual Earnings","2023","Male","Construction (F)","Euro","50694"
"All Employments - Mean Annual Earnings","2023","Male","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","48031"
"All Employments - Mean Annual Earnings","2023","Male","Transportation and storage (H)","Euro","50126"
"All Employments - Mean Annual Earnings","2023","Male","Accommodation and food service activities (I)","Euro","29842"
"All Employments - Mean Annual Earnings","2023","Male","Information and communication (J)","Euro","100192"
"All Employments - Mean Annual Earnings","2023","Male","Professional, scientific and technical activities (M)","Euro","74607"
"All Employments - Mean Annual Earnings","2023","Male","Administrative and support service activities (N)","Euro","52841"
"All Employments - Mean Annual Earnings","2023","Male","Public administration and defence; compulsory social security (O)","Euro","63810"
"All Employments - Mean Annual Earnings","2023","Male","Education (P)","Euro","63588"
"All Employments - Mean Annual Earnings","2023","Male","Human health and social work activities (Q)","Euro","55827"
"All Employments - Mean Annual Earnings","2023","Male","Industry (B to E)","Euro","62134"
"All Employments - Mean Annual Earnings","2023","Male","Financial, insurance and real estate activities (K,L)","Euro","88925"
"All Employments - Mean Annual Earnings","2023","Male","Arts, entertainment, recreation and other service activities (R,S)","Euro","41001"
"All Employments - Mean Annual Earnings","2023","Female","All NACE economic sectors","Euro","46915"
"All Employments - Mean Annual Earnings","2023","Female","Construction (F)","Euro","34167"
"All Employments - Mean Annual Earnings","2023","Female","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","33186"
"All Employments - Mean Annual Earnings","2023","Female","Transportation and storage (H)","Euro","41353"
"All Employments - Mean Annual Earnings","2023","Female","Accommodation and food service activities (I)","Euro","23443"
"All Employments - Mean Annual Earnings","2023","Female","Information and communication (J)","Euro","83950"
"All Employments - Mean Annual Earnings","2023","Female","Professional, scientific and technical activities (M)","Euro","54220"
"All Employments - Mean Annual Earnings","2023","Female","Administrative and support service activities (N)","Euro","39498"
"All Employments - Mean Annual Earnings","2023","Female","Public administration and defence; compulsory social security (O)","Euro","55113"
"All Employments - Mean Annual Earnings","2023","Female","Education (P)","Euro","53430"
"All Employments - Mean Annual Earnings","2023","Female","Human health and social work activities (Q)","Euro","45500"
"All Employments - Mean Annual Earnings","2023","Female","Industry (B to E)","Euro","54191"
"All Employments - Mean Annual Earnings","2023","Female","Financial, insurance and real estate activities (K,L)","Euro","60649"
"All Employments - Mean Annual Earnings","2023","Female","Arts, entertainment, recreation and other service activities (R,S)","Euro","28841"
"All Employments - Mean Annual Earnings","2024","Both sexes","All NACE economic sectors","Euro","56356"
"All Employments - Mean Annual Earnings","2024","Both sexes","Construction (F)","Euro","51065"
"All Employments - Mean Annual Earnings","2024","Both sexes","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","42454"
"All Employments - Mean Annual Earnings","2024","Both sexes","Transportation and storage (H)","Euro","50909"
"All Employments - Mean Annual Earnings","2024","Both sexes","Accommodation and food service activities (I)","Euro","27639"
"All Employments - Mean Annual Earnings","2024","Both sexes","Information and communication (J)","Euro","102445"
"All Employments - Mean Annual Earnings","2024","Both sexes","Professional, scientific and technical activities (M)","Euro","67848"
"All Employments - Mean Annual Earnings","2024","Both sexes","Administrative and support service activities (N)","Euro","48931"
"All Employments - Mean Annual Earnings","2024","Both sexes","Public administration and defence; compulsory social security (O)","Euro","62620"
"All Employments - Mean Annual Earnings","2024","Both sexes","Education (P)","Euro","58056"
"All Employments - Mean Annual Earnings","2024","Both sexes","Human health and social work activities (Q)","Euro","50438"
"All Employments - Mean Annual Earnings","2024","Both sexes","Industry (B to E)","Euro","62791"
"All Employments - Mean Annual Earnings","2024","Both sexes","Financial, insurance and real estate activities (K,L)","Euro","77313"
"All Employments - Mean Annual Earnings","2024","Both sexes","Arts, entertainment, recreation and other service activities (R,S)","Euro","35904"
"All Employments - Mean Annual Earnings","2024","Male","All NACE economic sectors","Euro","63520"
"All Employments - Mean Annual Earnings","2024","Male","Construction (F)","Euro","53651"
"All Employments - Mean Annual Earnings","2024","Male","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","49607"
"All Employments - Mean Annual Earnings","2024","Male","Transportation and storage (H)","Euro","53027"
"All Employments - Mean Annual Earnings","2024","Male","Accommodation and food service activities (I)","Euro","30769"
"All Employments - Mean Annual Earnings","2024","Male","Information and communication (J)","Euro","109035"
"All Employments - Mean Annual Earnings","2024","Male","Professional, scientific and technical activities (M)","Euro","78153"
"All Employments - Mean Annual Earnings","2024","Male","Administrative and support service activities (N)","Euro","55213"
"All Employments - Mean Annual Earnings","2024","Male","Public administration and defence; compulsory social security (O)","Euro","66481"
"All Employments - Mean Annual Earnings","2024","Male","Education (P)","Euro","66108"
"All Employments - Mean Annual Earnings","2024","Male","Human health and social work activities (Q)","Euro","58460"
"All Employments - Mean Annual Earnings","2024","Male","Industry (B to E)","Euro","65077"
"All Employments - Mean Annual Earnings","2024","Male","Financial, insurance and real estate activities (K,L)","Euro","92095"
"All Employments - Mean Annual Earnings","2024","Male","Arts, entertainment, recreation and other service activities (R,S)","Euro","43421"
"All Employments - Mean Annual Earnings","2024","Female","All NACE economic sectors","Euro","49022"
"All Employments - Mean Annual Earnings","2024","Female","Construction (F)","Euro","36521"
"All Employments - Mean Annual Earnings","2024","Female","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","34746"
"All Employments - Mean Annual Earnings","2024","Female","Transportation and storage (H)","Euro","44040"
"All Employments - Mean Annual Earnings","2024","Female","Accommodation and food service activities (I)","Euro","24602"
"All Employments - Mean Annual Earnings","2024","Female","Information and communication (J)","Euro","90423"
"All Employments - Mean Annual Earnings","2024","Female","Professional, scientific and technical activities (M)","Euro","57001"
"All Employments - Mean Annual Earnings","2024","Female","Administrative and support service activities (N)","Euro","41013"
"All Employments - Mean Annual Earnings","2024","Female","Public administration and defence; compulsory social security (O)","Euro","57413"
"All Employments - Mean Annual Earnings","2024","Female","Education (P)","Euro","55099"
"All Employments - Mean Annual Earnings","2024","Female","Human health and social work activities (Q)","Euro","47945"
"All Employments - Mean Annual Earnings","2024","Female","Industry (B to E)","Euro","57291"
"All Employments - Mean Annual Earnings","2024","Female","Financial, insurance and real estate activities (K,L)","Euro","63399"
"All Employments - Mean Annual Earnings","2024","Female","Arts, entertainment, recreation and other service activities (R,S)","Euro","30656"
"All Employments - Median Annual Earnings","2022","Both sexes","All NACE economic sectors","Euro","41823"
"All Employments - Median Annual Earnings","2022","Both sexes","Construction (F)","Euro","41003"
"All Employments - Median Annual Earnings","2022","Both sexes","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","30660"
"All Employments - Median Annual Earnings","2022","Both sexes","Transportation and storage (H)","Euro","41451"
"All Employments - Median Annual Earnings","2022","Both sexes","Accommodation and food service activities (I)","Euro","24099"
"All Employments - Median Annual Earnings","2022","Both sexes","Information and communication (J)","Euro","71494"
"All Employments - Median Annual Earnings","2022","Both sexes","Professional, scientific and technical activities (M)","Euro","46674"
"All Employments - Median Annual Earnings","2022","Both sexes","Administrative and support service activities (N)","Euro","34377"
"All Employments - Median Annual Earnings","2022","Both sexes","Public administration and defence; compulsory social security (O)","Euro","52459"
"All Employments - Median Annual Earnings","2022","Both sexes","Education (P)","Euro","51692"
"All Employments - Median Annual Earnings","2022","Both sexes","Human health and social work activities (Q)","Euro","40285"
"All Employments - Median Annual Earnings","2022","Both sexes","Industry (B to E)","Euro","46600"
"All Employments - Median Annual Earnings","2022","Both sexes","Financial, insurance and real estate activities (K,L)","Euro","54999"
"All Employments - Median Annual Earnings","2022","Both sexes","Arts, entertainment, recreation and other service activities (R,S)","Euro","25915"
"All Employments - Median Annual Earnings","2022","Male","All NACE economic sectors","Euro","45537"
"All Employments - Median Annual Earnings","2022","Male","Construction (F)","Euro","42669"
"All Employments - Median Annual Earnings","2022","Male","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","35635"
"All Employments - Median Annual Earnings","2022","Male","Transportation and storage (H)","Euro","42780"
"All Employments - Median Annual Earnings","2022","Male","Accommodation and food service activities (I)","Euro","27161"
"All Employments - Median Annual Earnings","2022","Male","Information and communication (J)","Euro","76775"
"All Employments - Median Annual Earnings","2022","Male","Professional, scientific and technical activities (M)","Euro","54339"
"All Employments - Median Annual Earnings","2022","Male","Administrative and support service activities (N)","Euro","37171"
"All Employments - Median Annual Earnings","2022","Male","Public administration and defence; compulsory social security (O)","Euro","55186"
"All Employments - Median Annual Earnings","2022","Male","Education (P)","Euro","59294"
"All Employments - Median Annual Earnings","2022","Male","Human health and social work activities (Q)","Euro","42322"
"All Employments - Median Annual Earnings","2022","Male","Industry (B to E)","Euro","48620"
"All Employments - Median Annual Earnings","2022","Male","Financial, insurance and real estate activities (K,L)","Euro","66572"
"All Employments - Median Annual Earnings","2022","Male","Arts, entertainment, recreation and other service activities (R,S)","Euro","30893"
"All Employments - Median Annual Earnings","2022","Female","All NACE economic sectors","Euro","37782"
"All Employments - Median Annual Earnings","2022","Female","Construction (F)","Euro","29112"
"All Employments - Median Annual Earnings","2022","Female","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","25256"
"All Employments - Median Annual Earnings","2022","Female","Transportation and storage (H)","Euro","37000"
"All Employments - Median Annual Earnings","2022","Female","Accommodation and food service activities (I)","Euro","21446"
"All Employments - Median Annual Earnings","2022","Female","Information and communication (J)","Euro","61884"
"All Employments - Median Annual Earnings","2022","Female","Professional, scientific and technical activities (M)","Euro","40000"
"All Employments - Median Annual Earnings","2022","Female","Administrative and support service activities (N)","Euro","29541"
"All Employments - Median Annual Earnings","2022","Female","Public administration and defence; compulsory social security (O)","Euro","48840"
"All Employments - Median Annual Earnings","2022","Female","Education (P)","Euro","48555"
"All Employments - Median Annual Earnings","2022","Female","Human health and social work activities (Q)","Euro","39829"
"All Employments - Median Annual Earnings","2022","Female","Industry (B to E)","Euro","41726"
"All Employments - Median Annual Earnings","2022","Female","Financial, insurance and real estate activities (K,L)","Euro","47001"
"All Employments - Median Annual Earnings","2022","Female","Arts, entertainment, recreation and other service activities (R,S)","Euro","23174"
"All Employments - Median Annual Earnings","2023","Both sexes","All NACE economic sectors","Euro","43221"
"All Employments - Median Annual Earnings","2023","Both sexes","Construction (F)","Euro","42643"
"All Employments - Median Annual Earnings","2023","Both sexes","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","31752"
"All Employments - Median Annual Earnings","2023","Both sexes","Transportation and storage (H)","Euro","41609"
"All Employments - Median Annual Earnings","2023","Both sexes","Accommodation and food service activities (I)","Euro","24464"
"All Employments - Median Annual Earnings","2023","Both sexes","Information and communication (J)","Euro","76002"
"All Employments - Median Annual Earnings","2023","Both sexes","Professional, scientific and technical activities (M)","Euro","49533"
"All Employments - Median Annual Earnings","2023","Both sexes","Administrative and support service activities (N)","Euro","35666"
"All Employments - Median Annual Earnings","2023","Both sexes","Public administration and defence; compulsory social security (O)","Euro","54760"
"All Employments - Median Annual Earnings","2023","Both sexes","Education (P)","Euro","53005"
"All Employments - Median Annual Earnings","2023","Both sexes","Human health and social work activities (Q)","Euro","42599"
"All Employments - Median Annual Earnings","2023","Both sexes","Industry (B to E)","Euro","47808"
"All Employments - Median Annual Earnings","2023","Both sexes","Financial, insurance and real estate activities (K,L)","Euro","56582"
"All Employments - Median Annual Earnings","2023","Both sexes","Arts, entertainment, recreation and other service activities (R,S)","Euro","26811"
"All Employments - Median Annual Earnings","2023","Male","All NACE economic sectors","Euro","47187"
"All Employments - Median Annual Earnings","2023","Male","Construction (F)","Euro","44500"
"All Employments - Median Annual Earnings","2023","Male","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","37058"
"All Employments - Median Annual Earnings","2023","Male","Transportation and storage (H)","Euro","43159"
"All Employments - Median Annual Earnings","2023","Male","Accommodation and food service activities (I)","Euro","27497"
"All Employments - Median Annual Earnings","2023","Male","Information and communication (J)","Euro","81891"
"All Employments - Median Annual Earnings","2023","Male","Professional, scientific and technical activities (M)","Euro","57800"
"All Employments - Median Annual Earnings","2023","Male","Administrative and support service activities (N)","Euro","38848"
"All Employments - Median Annual Earnings","2023","Male","Public administration and defence; compulsory social security (O)","Euro","57937"
"All Employments - Median Annual Earnings","2023","Male","Education (P)","Euro","61163"
"All Employments - Median Annual Earnings","2023","Male","Human health and social work activities (Q)","Euro","45131"
"All Employments - Median Annual Earnings","2023","Male","Industry (B to E)","Euro","49814"
"All Employments - Median Annual Earnings","2023","Male","Financial, insurance and real estate activities (K,L)","Euro","68563"
"All Employments - Median Annual Earnings","2023","Male","Arts, entertainment, recreation and other service activities (R,S)","Euro","32322"
"All Employments - Median Annual Earnings","2023","Female","All NACE economic sectors","Euro","39039"
"All Employments - Median Annual Earnings","2023","Female","Construction (F)","Euro","30347"
"All Employments - Median Annual Earnings","2023","Female","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","26336"
"All Employments - Median Annual Earnings","2023","Female","Transportation and storage (H)","Euro","36640"
"All Employments - Median Annual Earnings","2023","Female","Accommodation and food service activities (I)","Euro","21701"
"All Employments - Median Annual Earnings","2023","Female","Information and communication (J)","Euro","65443"
"All Employments - Median Annual Earnings","2023","Female","Professional, scientific and technical activities (M)","Euro","42283"
"All Employments - Median Annual Earnings","2023","Female","Administrative and support service activities (N)","Euro","30390"
"All Employments - Median Annual Earnings","2023","Female","Public administration and defence; compulsory social security (O)","Euro","50872"
"All Employments - Median Annual Earnings","2023","Female","Education (P)","Euro","49835"
"All Employments - Median Annual Earnings","2023","Female","Human health and social work activities (Q)","Euro","41927"
"All Employments - Median Annual Earnings","2023","Female","Industry (B to E)","Euro","43066"
"All Employments - Median Annual Earnings","2023","Female","Financial, insurance and real estate activities (K,L)","Euro","48423"
"All Employments - Median Annual Earnings","2023","Female","Arts, entertainment, recreation and other service activities (R,S)","Euro","23873"
"All Employments - Median Annual Earnings","2024","Both sexes","All NACE economic sectors","Euro","44816"
"All Employments - Median Annual Earnings","2024","Both sexes","Construction (F)","Euro","44676"
"All Employments - Median Annual Earnings","2024","Both sexes","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","32902"
"All Employments - Median Annual Earnings","2024","Both sexes","Transportation and storage (H)","Euro","43823"
"All Employments - Median Annual Earnings","2024","Both sexes","Accommodation and food service activities (I)","Euro","26000"
"All Employments - Median Annual Earnings","2024","Both sexes","Information and communication (J)","Euro","80147"
"All Employments - Median Annual Earnings","2024","Both sexes","Professional, scientific and technical activities (M)","Euro","51750"
"All Employments - Median Annual Earnings","2024","Both sexes","Administrative and support service activities (N)","Euro","37125"
"All Employments - Median Annual Earnings","2024","Both sexes","Public administration and defence; compulsory social security (O)","Euro","56745"
"All Employments - Median Annual Earnings","2024","Both sexes","Education (P)","Euro","54413"
"All Employments - Median Annual Earnings","2024","Both sexes","Human health and social work activities (Q)","Euro","44622"
"All Employments - Median Annual Earnings","2024","Both sexes","Industry (B to E)","Euro","50000"
"All Employments - Median Annual Earnings","2024","Both sexes","Financial, insurance and real estate activities (K,L)","Euro","59023"
"All Employments - Median Annual Earnings","2024","Both sexes","Arts, entertainment, recreation and other service activities (R,S)","Euro","28497"
"All Employments - Median Annual Earnings","2024","Male","All NACE economic sectors","Euro","48897"
"All Employments - Median Annual Earnings","2024","Male","Construction (F)","Euro","46693"
"All Employments - Median Annual Earnings","2024","Male","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","38240"
"All Employments - Median Annual Earnings","2024","Male","Transportation and storage (H)","Euro","45540"
"All Employments - Median Annual Earnings","2024","Male","Accommodation and food service activities (I)","Euro","28822"
"All Employments - Median Annual Earnings","2024","Male","Information and communication (J)","Euro","86388"
"All Employments - Median Annual Earnings","2024","Male","Professional, scientific and technical activities (M)","Euro","60383"
"All Employments - Median Annual Earnings","2024","Male","Administrative and support service activities (N)","Euro","40442"
"All Employments - Median Annual Earnings","2024","Male","Public administration and defence; compulsory social security (O)","Euro","60010"
"All Employments - Median Annual Earnings","2024","Male","Education (P)","Euro","63705"
"All Employments - Median Annual Earnings","2024","Male","Human health and social work activities (Q)","Euro","46965"
"All Employments - Median Annual Earnings","2024","Male","Industry (B to E)","Euro","52005"
"All Employments - Median Annual Earnings","2024","Male","Financial, insurance and real estate activities (K,L)","Euro","71278"
"All Employments - Median Annual Earnings","2024","Male","Arts, entertainment, recreation and other service activities (R,S)","Euro","33400"
"All Employments - Median Annual Earnings","2024","Female","All NACE economic sectors","Euro","40424"
"All Employments - Median Annual Earnings","2024","Female","Construction (F)","Euro","32045"
"All Employments - Median Annual Earnings","2024","Female","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","27720"
"All Employments - Median Annual Earnings","2024","Female","Transportation and storage (H)","Euro","38225"
"All Employments - Median Annual Earnings","2024","Female","Accommodation and food service activities (I)","Euro","23045"
"All Employments - Median Annual Earnings","2024","Female","Information and communication (J)","Euro","69156"
"All Employments - Median Annual Earnings","2024","Female","Professional, scientific and technical activities (M)","Euro","44584"
"All Employments - Median Annual Earnings","2024","Female","Administrative and support service activities (N)","Euro","31688"
"All Employments - Median Annual Earnings","2024","Female","Public administration and defence; compulsory social security (O)","Euro","52467"
"All Employments - Median Annual Earnings","2024","Female","Education (P)","Euro","50745"
"All Employments - Median Annual Earnings","2024","Female","Human health and social work activities (Q)","Euro","44001"
"All Employments - Median Annual Earnings","2024","Female","Industry (B to E)","Euro","44996"
"All Employments - Median Annual Earnings","2024","Female","Financial, insurance and real estate activities (K,L)","Euro","50521"
"All Employments - Median Annual Earnings","2024","Female","Arts, entertainment, recreation and other service activities (R,S)","Euro","25693"
