"STATISTIC Label","Year","Eircode Output","UNIT","VALUE"
"New Dwelling Completions","2016","All","Number","9728"
"New Dwelling Completions","2016","A41: Ballyboughal","Number","27"
"New Dwelling Completions","2016","A42: Garristown","Number","10"
"New Dwelling Completions","2016","A45: Oldtown","Number","2"
"New Dwelling Completions","2016","A63: Greystones","Number","179"
"New Dwelling Completions","2016","A67: Wicklow","Number","68"
"New Dwelling Completions","2016","A75: Castleblaney","Number","19"
"New Dwelling Completions","2016","A81: Carrickmacross","Number","24"
"New Dwelling Completions","2016","A82: Kells","Number","92"
"New Dwelling Completions","2016","A83: Enfield","Number","42"
"New Dwelling Completions","2016","A84: Ashbourne","Number","101"
"New Dwelling Completions","2016","A85: Dunshaughlin","Number","44"
"New Dwelling Completions","2016","A86: Dunboyne","Number","17"
"New Dwelling Completions","2016","A91: Dundalk","Number","157"
"New Dwelling Completions","2016","A92: Drogheda","Number","205"
"New Dwelling Completions","2016","A94: Blackrock","Number","84"
"New Dwelling Completions","2016","A96: Glenageary","Number","321"
"New Dwelling Completions","2016","A98: Bray","Number","59"
"New Dwelling Completions","2016","C15: Navan","Number","170"
"New Dwelling Completions","2016","D01: Dublin 1","Number","23"
"New Dwelling Completions","2016","D02: Dublin 2","Number","46"
"New Dwelling Completions","2016","D03: Dublin 3","Number","41"
"New Dwelling Completions","2016","D04: Dublin 4","Number","45"
"New Dwelling Completions","2016","D05: Dublin 5","Number","21"
"New Dwelling Completions","2016","D06: Dublin 6","Number","49"
"New Dwelling Completions","2016","D07: Dublin 7","Number","71"
"New Dwelling Completions","2016","D08: Dublin 8","Number","84"
"New Dwelling Completions","2016","D09: Dublin 9","Number","129"
"New Dwelling Completions","2016","D10: Dublin 10","Number","3"
"New Dwelling Completions","2016","D11: Dublin 11","Number","108"
"New Dwelling Completions","2016","D12: Dublin 12","Number","44"
"New Dwelling Completions","2016","D13: Dublin 13","Number","285"
"New Dwelling Completions","2016","D14: Dublin 14","Number","152"
"New Dwelling Completions","2016","D15: Dublin 15","Number","577"
"New Dwelling Completions","2016","D16: Dublin 16","Number","123"
"New Dwelling Completions","2016","D17: Dublin 17","Number","11"
"New Dwelling Completions","2016","D18: Dublin 18","Number","407"
"New Dwelling Completions","2016","D20: Dublin 20","Number","1"
"New Dwelling Completions","2016","D22: Dublin 22","Number","42"
"New Dwelling Completions","2016","D24: Dublin 24","Number","227"
"New Dwelling Completions","2016","D6W: Dublin 6W","Number","38"
"New Dwelling Completions","2016","E21: Cahir","Number","18"
"New Dwelling Completions","2016","E25: Cashel","Number","11"
"New Dwelling Completions","2016","E32: Carrick-on-Suir","Number","10"
"New Dwelling Completions","2016","E34: Tipperary","Number","22"
"New Dwelling Completions","2016","E41: Thurles","Number","30"
"New Dwelling Completions","2016","E45: Nenagh","Number","31"
"New Dwelling Completions","2016","E53: Roscrea","Number","11"
"New Dwelling Completions","2016","E91: Clonmel","Number","32"
"New Dwelling Completions","2016","F12: Claremorris","Number","42"
"New Dwelling Completions","2016","F23: Castlebar","Number","39"
"New Dwelling Completions","2016","F26: Ballina","Number","71"
"New Dwelling Completions","2016","F28: Westport","Number","95"
"New Dwelling Completions","2016","F31: Ballinrobe","Number","9"
"New Dwelling Completions","2016","F35: Ballyhaunis","Number","8"
"New Dwelling Completions","2016","F42: Roscommon","Number","39"
"New Dwelling Completions","2016","F45: Castlerea","Number","24"
"New Dwelling Completions","2016","F52: Boyle","Number","19"
"New Dwelling Completions","2016","F56: Ballymote","Number","13"
"New Dwelling Completions","2016","F91: Sligo","Number","65"
"New Dwelling Completions","2016","F92: Letterkenny","Number","129"
"New Dwelling Completions","2016","F93: Lifford","Number","73"
"New Dwelling Completions","2016","F94: Donegal","Number","81"
"New Dwelling Completions","2016","H12: Cavan","Number","54"
"New Dwelling Completions","2016","H14: Belturbet","Number","15"
"New Dwelling Completions","2016","H16: Cootehill","Number","11"
"New Dwelling Completions","2016","H18: Monaghan","Number","47"
"New Dwelling Completions","2016","H23: Clones","Number","0"
"New Dwelling Completions","2016","H53: Ballinasloe","Number","42"
"New Dwelling Completions","2016","H54: Tuam","Number","40"
"New Dwelling Completions","2016","H62: Loughrea","Number","30"
"New Dwelling Completions","2016","H65: Athenry","Number","39"
"New Dwelling Completions","2016","H71: Clifden","Number","14"
"New Dwelling Completions","2016","H91: Galway","Number","348"
"New Dwelling Completions","2016","K32: Balbriggan","Number","73"
"New Dwelling Completions","2016","K34: Skerries","Number","85"
"New Dwelling Completions","2016","K36: Malahide","Number","157"
"New Dwelling Completions","2016","K45: Lusk","Number","15"
"New Dwelling Completions","2016","K56: Rush","Number","31"
"New Dwelling Completions","2016","K67: Swords","Number","179"
"New Dwelling Completions","2016","K78: Lucan","Number","65"
"New Dwelling Completions","2016","N37: Athlone","Number","34"
"New Dwelling Completions","2016","N39: Longford","Number","63"
"New Dwelling Completions","2016","N41: Carrick-on-Shannon","Number","43"
"New Dwelling Completions","2016","N91: Mullingar","Number","78"
"New Dwelling Completions","2016","P12: Macroom","Number","44"
"New Dwelling Completions","2016","P14: Crookstown","Number","14"
"New Dwelling Completions","2016","P17: Kinsale","Number","22"
"New Dwelling Completions","2016","P24: Cobh","Number","22"
"New Dwelling Completions","2016","P25: Midleton","Number","45"
"New Dwelling Completions","2016","P31: Ballincollig","Number","74"
"New Dwelling Completions","2016","P32: Rylane","Number","4"
"New Dwelling Completions","2016","P36: Youghal","Number","17"
"New Dwelling Completions","2016","P43: Carrigaline","Number","73"
"New Dwelling Completions","2016","P47: Dunmanway","Number","29"
"New Dwelling Completions","2016","P51: Mallow","Number","94"
"New Dwelling Completions","2016","P56: Charleville","Number","11"
"New Dwelling Completions","2016","P61: Fermoy","Number","20"
"New Dwelling Completions","2016","P67: Mitchelstown","Number","19"
"New Dwelling Completions","2016","P72: Bandon","Number","50"
"New Dwelling Completions","2016","P75: Bantry","Number","35"
"New Dwelling Completions","2016","P81: Skibbereen","Number","30"
"New Dwelling Completions","2016","P85: Clonakilty","Number","26"
"New Dwelling Completions","2016","R14: Athy","Number","29"
"New Dwelling Completions","2016","R21: Mhuine Bheag","Number","8"
"New Dwelling Completions","2016","R32: Portlaoise","Number","97"
"New Dwelling Completions","2016","R35: Tullamore","Number","37"
"New Dwelling Completions","2016","R42: Birr","Number","28"
"New Dwelling Completions","2016","R45: Edenderry","Number","14"
"New Dwelling Completions","2016","R51: Kildare","Number","34"
"New Dwelling Completions","2016","R56: Curragh","Number","22"
"New Dwelling Completions","2016","R93: Carlow","Number","78"
"New Dwelling Completions","2016","R95: Kilkenny","Number","121"
"New Dwelling Completions","2016","T12: Cork Southside","Number","163"
"New Dwelling Completions","2016","T23: Cork Northside","Number","89"
"New Dwelling Completions","2016","T34: Carrignavar","Number","10"
"New Dwelling Completions","2016","T45: Glanmire","Number","60"
"New Dwelling Completions","2016","T56: Watergrasshill","Number","29"
"New Dwelling Completions","2016","V14: Shannon","Number","0"
"New Dwelling Completions","2016","V15: Kilrush","Number","14"
"New Dwelling Completions","2016","V23: Caherciveen","Number","15"
"New Dwelling Completions","2016","V31: Listowel","Number","17"
"New Dwelling Completions","2016","V35: Kilmallock","Number","30"
"New Dwelling Completions","2016","V42: Newcastle West","Number","15"
"New Dwelling Completions","2016","V92: Tralee","Number","82"
"New Dwelling Completions","2016","V93: Killarney","Number","118"
"New Dwelling Completions","2016","V94: Limerick","Number","273"
"New Dwelling Completions","2016","V95: Ennis","Number","157"
"New Dwelling Completions","2016","W12: Newbridge","Number","54"
"New Dwelling Completions","2016","W23: Celbridge","Number","230"
"New Dwelling Completions","2016","W34: Monasterevin","Number","20"
"New Dwelling Completions","2016","W91: Naas","Number","278"
"New Dwelling Completions","2016","X35: Dungarvan","Number","59"
"New Dwelling Completions","2016","X42: Kilmacthomas","Number","18"
"New Dwelling Completions","2016","X91: Waterford","Number","129"
"New Dwelling Completions","2016","Y14: Arklow","Number","18"
"New Dwelling Completions","2016","Y21: Enniscorthy","Number","69"
"New Dwelling Completions","2016","Y25: Gorey","Number","83"
"New Dwelling Completions","2016","Y34: New Ross","Number","29"
"New Dwelling Completions","2016","Y35: Wexford","Number","89"
"New Dwelling Completions","2017","All","Number","14228"
"New Dwelling Completions","2017","A41: Ballyboughal","Number","14"
"New Dwelling Completions","2017","A42: Garristown","Number","5"
"New Dwelling Completions","2017","A45: Oldtown","Number","1"
"New Dwelling Completions","2017","A63: Greystones","Number","251"
"New Dwelling Completions","2017","A67: Wicklow","Number","95"
"New Dwelling Completions","2017","A75: Castleblaney","Number","36"
"New Dwelling Completions","2017","A81: Carrickmacross","Number","35"
"New Dwelling Completions","2017","A82: Kells","Number","74"
"New Dwelling Completions","2017","A83: Enfield","Number","65"
"New Dwelling Completions","2017","A84: Ashbourne","Number","313"
"New Dwelling Completions","2017","A85: Dunshaughlin","Number","125"
"New Dwelling Completions","2017","A86: Dunboyne","Number","20"
"New Dwelling Completions","2017","A91: Dundalk","Number","229"
"New Dwelling Completions","2017","A92: Drogheda","Number","383"
"New Dwelling Completions","2017","A94: Blackrock","Number","41"
"New Dwelling Completions","2017","A96: Glenageary","Number","541"
"New Dwelling Completions","2017","A98: Bray","Number","61"
"New Dwelling Completions","2017","C15: Navan","Number","230"
"New Dwelling Completions","2017","D01: Dublin 1","Number","56"
"New Dwelling Completions","2017","D02: Dublin 2","Number","127"
"New Dwelling Completions","2017","D03: Dublin 3","Number","44"
"New Dwelling Completions","2017","D04: Dublin 4","Number","122"
"New Dwelling Completions","2017","D05: Dublin 5","Number","48"
"New Dwelling Completions","2017","D06: Dublin 6","Number","132"
"New Dwelling Completions","2017","D07: Dublin 7","Number","84"
"New Dwelling Completions","2017","D08: Dublin 8","Number","109"
"New Dwelling Completions","2017","D09: Dublin 9","Number","50"
"New Dwelling Completions","2017","D10: Dublin 10","Number","24"
"New Dwelling Completions","2017","D11: Dublin 11","Number","165"
"New Dwelling Completions","2017","D12: Dublin 12","Number","115"
"New Dwelling Completions","2017","D13: Dublin 13","Number","799"
"New Dwelling Completions","2017","D14: Dublin 14","Number","206"
"New Dwelling Completions","2017","D15: Dublin 15","Number","687"
"New Dwelling Completions","2017","D16: Dublin 16","Number","182"
"New Dwelling Completions","2017","D17: Dublin 17","Number","66"
"New Dwelling Completions","2017","D18: Dublin 18","Number","384"
"New Dwelling Completions","2017","D20: Dublin 20","Number","104"
"New Dwelling Completions","2017","D22: Dublin 22","Number","153"
"New Dwelling Completions","2017","D24: Dublin 24","Number","365"
"New Dwelling Completions","2017","D6W: Dublin 6W","Number","43"
"New Dwelling Completions","2017","E21: Cahir","Number","13"
"New Dwelling Completions","2017","E25: Cashel","Number","11"
"New Dwelling Completions","2017","E32: Carrick-on-Suir","Number","11"
"New Dwelling Completions","2017","E34: Tipperary","Number","13"
"New Dwelling Completions","2017","E41: Thurles","Number","50"
"New Dwelling Completions","2017","E45: Nenagh","Number","38"
"New Dwelling Completions","2017","E53: Roscrea","Number","17"
"New Dwelling Completions","2017","E91: Clonmel","Number","29"
"New Dwelling Completions","2017","F12: Claremorris","Number","36"
"New Dwelling Completions","2017","F23: Castlebar","Number","33"
"New Dwelling Completions","2017","F26: Ballina","Number","77"
"New Dwelling Completions","2017","F28: Westport","Number","75"
"New Dwelling Completions","2017","F31: Ballinrobe","Number","18"
"New Dwelling Completions","2017","F35: Ballyhaunis","Number","8"
"New Dwelling Completions","2017","F42: Roscommon","Number","40"
"New Dwelling Completions","2017","F45: Castlerea","Number","35"
"New Dwelling Completions","2017","F52: Boyle","Number","22"
"New Dwelling Completions","2017","F56: Ballymote","Number","17"
"New Dwelling Completions","2017","F91: Sligo","Number","98"
"New Dwelling Completions","2017","F92: Letterkenny","Number","140"
"New Dwelling Completions","2017","F93: Lifford","Number","107"
"New Dwelling Completions","2017","F94: Donegal","Number","114"
"New Dwelling Completions","2017","H12: Cavan","Number","48"
"New Dwelling Completions","2017","H14: Belturbet","Number","28"
"New Dwelling Completions","2017","H16: Cootehill","Number","15"
"New Dwelling Completions","2017","H18: Monaghan","Number","76"
"New Dwelling Completions","2017","H23: Clones","Number","5"
"New Dwelling Completions","2017","H53: Ballinasloe","Number","64"
"New Dwelling Completions","2017","H54: Tuam","Number","50"
"New Dwelling Completions","2017","H62: Loughrea","Number","44"
"New Dwelling Completions","2017","H65: Athenry","Number","56"
"New Dwelling Completions","2017","H71: Clifden","Number","12"
"New Dwelling Completions","2017","H91: Galway","Number","409"
"New Dwelling Completions","2017","K32: Balbriggan","Number","112"
"New Dwelling Completions","2017","K34: Skerries","Number","100"
"New Dwelling Completions","2017","K36: Malahide","Number","190"
"New Dwelling Completions","2017","K45: Lusk","Number","16"
"New Dwelling Completions","2017","K56: Rush","Number","34"
"New Dwelling Completions","2017","K67: Swords","Number","222"
"New Dwelling Completions","2017","K78: Lucan","Number","224"
"New Dwelling Completions","2017","N37: Athlone","Number","48"
"New Dwelling Completions","2017","N39: Longford","Number","81"
"New Dwelling Completions","2017","N41: Carrick-on-Shannon","Number","58"
"New Dwelling Completions","2017","N91: Mullingar","Number","110"
"New Dwelling Completions","2017","P12: Macroom","Number","56"
"New Dwelling Completions","2017","P14: Crookstown","Number","6"
"New Dwelling Completions","2017","P17: Kinsale","Number","65"
"New Dwelling Completions","2017","P24: Cobh","Number","47"
"New Dwelling Completions","2017","P25: Midleton","Number","65"
"New Dwelling Completions","2017","P31: Ballincollig","Number","111"
"New Dwelling Completions","2017","P32: Rylane","Number","10"
"New Dwelling Completions","2017","P36: Youghal","Number","18"
"New Dwelling Completions","2017","P43: Carrigaline","Number","136"
"New Dwelling Completions","2017","P47: Dunmanway","Number","16"
"New Dwelling Completions","2017","P51: Mallow","Number","163"
"New Dwelling Completions","2017","P56: Charleville","Number","16"
"New Dwelling Completions","2017","P61: Fermoy","Number","44"
"New Dwelling Completions","2017","P67: Mitchelstown","Number","14"
"New Dwelling Completions","2017","P72: Bandon","Number","65"
"New Dwelling Completions","2017","P75: Bantry","Number","36"
"New Dwelling Completions","2017","P81: Skibbereen","Number","40"
"New Dwelling Completions","2017","P85: Clonakilty","Number","39"
"New Dwelling Completions","2017","R14: Athy","Number","36"
"New Dwelling Completions","2017","R21: Mhuine Bheag","Number","14"
"New Dwelling Completions","2017","R32: Portlaoise","Number","114"
"New Dwelling Completions","2017","R35: Tullamore","Number","56"
"New Dwelling Completions","2017","R42: Birr","Number","32"
"New Dwelling Completions","2017","R45: Edenderry","Number","28"
"New Dwelling Completions","2017","R51: Kildare","Number","98"
"New Dwelling Completions","2017","R56: Curragh","Number","33"
"New Dwelling Completions","2017","R93: Carlow","Number","86"
"New Dwelling Completions","2017","R95: Kilkenny","Number","166"
"New Dwelling Completions","2017","T12: Cork Southside","Number","232"
"New Dwelling Completions","2017","T23: Cork Northside","Number","102"
"New Dwelling Completions","2017","T34: Carrignavar","Number","11"
"New Dwelling Completions","2017","T45: Glanmire","Number","105"
"New Dwelling Completions","2017","T56: Watergrasshill","Number","35"
"New Dwelling Completions","2017","V14: Shannon","Number","3"
"New Dwelling Completions","2017","V15: Kilrush","Number","34"
"New Dwelling Completions","2017","V23: Caherciveen","Number","12"
"New Dwelling Completions","2017","V31: Listowel","Number","18"
"New Dwelling Completions","2017","V35: Kilmallock","Number","35"
"New Dwelling Completions","2017","V42: Newcastle West","Number","28"
"New Dwelling Completions","2017","V92: Tralee","Number","102"
"New Dwelling Completions","2017","V93: Killarney","Number","152"
"New Dwelling Completions","2017","V94: Limerick","Number","453"
"New Dwelling Completions","2017","V95: Ennis","Number","178"
"New Dwelling Completions","2017","W12: Newbridge","Number","96"
"New Dwelling Completions","2017","W23: Celbridge","Number","301"
"New Dwelling Completions","2017","W34: Monasterevin","Number","87"
"New Dwelling Completions","2017","W91: Naas","Number","395"
"New Dwelling Completions","2017","X35: Dungarvan","Number","52"
"New Dwelling Completions","2017","X42: Kilmacthomas","Number","20"
"New Dwelling Completions","2017","X91: Waterford","Number","188"
"New Dwelling Completions","2017","Y14: Arklow","Number","44"
"New Dwelling Completions","2017","Y21: Enniscorthy","Number","99"
"New Dwelling Completions","2017","Y25: Gorey","Number","123"
"New Dwelling Completions","2017","Y34: New Ross","Number","28"
"New Dwelling Completions","2017","Y35: Wexford","Number","97"
"New Dwelling Completions","2018","All","Number","17786"
"New Dwelling Completions","2018","A41: Ballyboughal","Number","19"
"New Dwelling Completions","2018","A42: Garristown","Number","12"
"New Dwelling Completions","2018","A45: Oldtown","Number","3"
"New Dwelling Completions","2018","A63: Greystones","Number","289"
"New Dwelling Completions","2018","A67: Wicklow","Number","167"
"New Dwelling Completions","2018","A75: Castleblaney","Number","30"
"New Dwelling Completions","2018","A81: Carrickmacross","Number","34"
"New Dwelling Completions","2018","A82: Kells","Number","100"
"New Dwelling Completions","2018","A83: Enfield","Number","54"
"New Dwelling Completions","2018","A84: Ashbourne","Number","229"
"New Dwelling Completions","2018","A85: Dunshaughlin","Number","239"
"New Dwelling Completions","2018","A86: Dunboyne","Number","8"
"New Dwelling Completions","2018","A91: Dundalk","Number","295"
"New Dwelling Completions","2018","A92: Drogheda","Number","603"
"New Dwelling Completions","2018","A94: Blackrock","Number","92"
"New Dwelling Completions","2018","A96: Glenageary","Number","535"
"New Dwelling Completions","2018","A98: Bray","Number","36"
"New Dwelling Completions","2018","C15: Navan","Number","521"
"New Dwelling Completions","2018","D01: Dublin 1","Number","29"
"New Dwelling Completions","2018","D02: Dublin 2","Number","221"
"New Dwelling Completions","2018","D03: Dublin 3","Number","92"
"New Dwelling Completions","2018","D04: Dublin 4","Number","59"
"New Dwelling Completions","2018","D05: Dublin 5","Number","92"
"New Dwelling Completions","2018","D06: Dublin 6","Number","172"
"New Dwelling Completions","2018","D07: Dublin 7","Number","71"
"New Dwelling Completions","2018","D08: Dublin 8","Number","165"
"New Dwelling Completions","2018","D09: Dublin 9","Number","233"
"New Dwelling Completions","2018","D10: Dublin 10","Number","122"
"New Dwelling Completions","2018","D11: Dublin 11","Number","234"
"New Dwelling Completions","2018","D12: Dublin 12","Number","97"
"New Dwelling Completions","2018","D13: Dublin 13","Number","397"
"New Dwelling Completions","2018","D14: Dublin 14","Number","272"
"New Dwelling Completions","2018","D15: Dublin 15","Number","795"
"New Dwelling Completions","2018","D16: Dublin 16","Number","219"
"New Dwelling Completions","2018","D17: Dublin 17","Number","52"
"New Dwelling Completions","2018","D18: Dublin 18","Number","369"
"New Dwelling Completions","2018","D20: Dublin 20","Number","75"
"New Dwelling Completions","2018","D22: Dublin 22","Number","156"
"New Dwelling Completions","2018","D24: Dublin 24","Number","633"
"New Dwelling Completions","2018","D6W: Dublin 6W","Number","79"
"New Dwelling Completions","2018","E21: Cahir","Number","23"
"New Dwelling Completions","2018","E25: Cashel","Number","10"
"New Dwelling Completions","2018","E32: Carrick-on-Suir","Number","24"
"New Dwelling Completions","2018","E34: Tipperary","Number","19"
"New Dwelling Completions","2018","E41: Thurles","Number","60"
"New Dwelling Completions","2018","E45: Nenagh","Number","24"
"New Dwelling Completions","2018","E53: Roscrea","Number","19"
"New Dwelling Completions","2018","E91: Clonmel","Number","36"
"New Dwelling Completions","2018","F12: Claremorris","Number","65"
"New Dwelling Completions","2018","F23: Castlebar","Number","45"
"New Dwelling Completions","2018","F26: Ballina","Number","84"
"New Dwelling Completions","2018","F28: Westport","Number","97"
"New Dwelling Completions","2018","F31: Ballinrobe","Number","17"
"New Dwelling Completions","2018","F35: Ballyhaunis","Number","8"
"New Dwelling Completions","2018","F42: Roscommon","Number","57"
"New Dwelling Completions","2018","F45: Castlerea","Number","52"
"New Dwelling Completions","2018","F52: Boyle","Number","19"
"New Dwelling Completions","2018","F56: Ballymote","Number","17"
"New Dwelling Completions","2018","F91: Sligo","Number","164"
"New Dwelling Completions","2018","F92: Letterkenny","Number","191"
"New Dwelling Completions","2018","F93: Lifford","Number","144"
"New Dwelling Completions","2018","F94: Donegal","Number","95"
"New Dwelling Completions","2018","H12: Cavan","Number","64"
"New Dwelling Completions","2018","H14: Belturbet","Number","22"
"New Dwelling Completions","2018","H16: Cootehill","Number","6"
"New Dwelling Completions","2018","H18: Monaghan","Number","58"
"New Dwelling Completions","2018","H23: Clones","Number","9"
"New Dwelling Completions","2018","H53: Ballinasloe","Number","64"
"New Dwelling Completions","2018","H54: Tuam","Number","70"
